epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.986136257648468,0.3045075237751007,0.13628888130187988,0.04582225903868675,0.05135094001889229,0.09980486333370209,0.001,0.724513828754425,0.9838870167732239,0.9650101065635681,0.9957454800605774,0.9868614077568054,0.3146319091320038,0.1493632197380066,0.05267602577805519,0.06211942806839943,0.05309056118130684,0.8253806233406067,0.9868614077568054,0.9868614077568054,0.995620608329773
1,0.9867307543754578,0.3255877196788788,0.16097664833068848,0.07995373010635376,0.06709852814674377,0.05335304141044617,0.001,0.8122787475585938,0.9872191548347473,0.9860734343528748,0.9957438111305237,0.9869004487991333,0.338204562664032,0.14450126886367798,0.1388891190290451,0.07436953485012054,0.04675799608230591,0.7929960489273071,0.9872763156890869,0.9868571162223816,0.9957618713378906
2,0.9874913096427917,0.38624128699302673,0.23613177239894867,0.19604600965976715,0.11736714839935303,0.04543685168027878,0.001,0.7836825251579285,0.9901968240737915,0.9853984713554382,0.9967478513717651,0.9879815578460693,0.45711833238601685,0.2713327705860138,0.38851892948150635,0.17201659083366394,0.03657015413045883,0.8277060985565186,0.9925720691680908,0.986189603805542,0.9975409507751465
3,0.987200140953064,0.3871441185474396,0.22582709789276123,0.21190135180950165,0.11644283682107925,0.20248667895793915,0.001,0.6281717419624329,0.9893596768379211,0.9855036735534668,0.9964652061462402,0.9868614077568054,0.25490638613700867,0.018460214138031006,0.003630847204476595,0.003999639302492142,0.07830701023340225,0.3754158318042755,0.9868614077568054,0.9868614077568054,0.9956204295158386
4,0.9871020317077637,0.3082263171672821,0.12221875041723251,0.060868654400110245,0.05553756654262543,0.05460768938064575,0.001,0.3753446340560913,0.9873175621032715,0.9869205951690674,0.9957728385925293,0.9868612885475159,0.32237738370895386,0.14046701788902283,0.08530140668153763,0.06931270658969879,0.05332644283771515,0.3756101727485657,0.9873892664909363,0.9868192076683044,0.9957982301712036
5,0.9870985150337219,0.3141288757324219,0.13103313744068146,0.0708540752530098,0.06018121540546417,0.05300725996494293,0.001,0.437974750995636,0.9876011610031128,0.9867988228797913,0.9958686232566833,0.986861526966095,0.3056737184524536,0.12528760731220245,0.05023382976651192,0.052851252257823944,0.05389166623353958,0.3752462863922119,0.9869838356971741,0.9868614077568054,0.995661735534668
6,0.9870991110801697,0.3150145709514618,0.13272777199745178,0.07209886610507965,0.060769181698560715,0.05255332589149475,0.001,0.6439870595932007,0.9876357913017273,0.9866211414337158,0.9958810806274414,0.9868616461753845,0.29781854152679443,0.11623017489910126,0.0362866185605526,0.04454602673649788,0.0552714504301548,0.7954841256141663,0.9868725538253784,0.9868616461753845,0.9956242442131042
7,0.9870986938476562,0.3129710555076599,0.1319921612739563,0.06675664335489273,0.05870071426033974,0.05293555185198784,0.001,0.6971698999404907,0.9876271486282349,0.9867684841156006,0.9958776235580444,0.9868611693382263,0.32990795373916626,0.16333387792110443,0.08500475436449051,0.07691193372011185,0.05327139422297478,0.7863829135894775,0.9877373576164246,0.9863859415054321,0.995914876461029
8,0.9871095418930054,0.3205038011074066,0.14474321901798248,0.08385546505451202,0.0589119978249073,0.05161343142390251,0.001,0.7637736797332764,0.9875791072845459,0.9868499636650085,0.9958609342575073,0.986887514591217,0.35889503359794617,0.2031281590461731,0.14933070540428162,0.08874955028295517,0.052164699882268906,0.8107515573501587,0.9880053400993347,0.9861372709274292,0.9960055947303772
9,0.9870257377624512,0.33516666293144226,0.1645699143409729,0.11897482722997665,0.06252852082252502,0.05004994198679924,0.001,0.8084354400634766,0.9877136945724487,0.9866756796836853,0.9959073662757874,0.9868730306625366,0.32063961029052734,0.17205984890460968,0.06034405902028084,0.0557204894721508,0.05166275426745415,0.8001376390457153,0.9871565699577332,0.9868584275245667,0.9957199692726135
10,0.987091064453125,0.33851975202560425,0.16323520243167877,0.13320735096931458,0.06307349354028702,0.05029508098959923,0.001,0.7493690252304077,0.9876477122306824,0.9864989519119263,0.99588543176651,0.9868820905685425,0.35175439715385437,0.21161353588104248,0.1349981129169464,0.06566378474235535,0.04908156394958496,0.7851289510726929,0.9873484969139099,0.9868325591087341,0.99578458070755
