epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u_2,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u_2,val_precision,val_sensitivity,val_specificity
0,0.9839457869529724,0.30789968371391296,0.112005814909935,0.05692175403237343,0.07252631336450577,0.07693511992692947,0.001,0.6817795038223267,0.9835032820701599,0.9782881140708923,0.9954603910446167,0.9867903590202332,0.322380393743515,0.14432339370250702,0.0680992603302002,0.0824008584022522,0.05132433399558067,0.43308940529823303,0.9867903590202332,0.9867887496948242,0.9955966472625732
1,0.9871646165847778,0.3548597991466522,0.1881200522184372,0.11183027178049088,0.12427008897066116,0.04813201725482941,0.001,0.5194000601768494,0.9894809722900391,0.9857024550437927,0.9965038895606995,0.9890384078025818,0.4428494870662689,0.3231946527957916,0.22522568702697754,0.2263489067554474,0.03708484023809433,0.46632450819015503,0.9959743618965149,0.9819091558456421,0.9986764788627625
2,0.9882346987724304,0.4083632230758667,0.27770984172821045,0.17912538349628448,0.18025946617126465,0.03964030370116234,0.001,0.49417245388031006,0.9931921362876892,0.984553873538971,0.997747540473938,0.9886834025382996,0.4571267366409302,0.38401445746421814,0.23370902240276337,0.21525384485721588,0.04380850866436958,0.492897093296051,0.9970991611480713,0.9769893288612366,0.9990533590316772
3,0.989004909992218,0.4303685128688812,0.3440079391002655,0.18908913433551788,0.1915784776210785,0.035950351506471634,0.001,0.5438628196716309,0.993904173374176,0.9849987030029297,0.9979853630065918,0.9892641305923462,0.4742540717124939,0.426161527633667,0.24107441306114197,0.2333492636680603,0.03852902352809906,0.502436637878418,0.997081995010376,0.9808444380760193,0.9990444779396057
4,0.989290177822113,0.44353434443473816,0.3823823034763336,0.19539016485214233,0.19937938451766968,0.03449783846735954,0.001,0.590010404586792,0.9941513538360596,0.9852634072303772,0.9980668425559998,0.9900150895118713,0.47427424788475037,0.46526041626930237,0.21110260486602783,0.22337716817855835,0.03130898252129555,0.7896002531051636,0.9957424998283386,0.9844257235527039,0.9985985159873962
5,0.9898896217346191,0.4635200500488281,0.4317913055419922,0.21599999070167542,0.20893840491771698,0.03155800700187683,0.001,0.6786361932754517,0.9939402937889099,0.9867048263549805,0.9979962706565857,0.990862250328064,0.5119222402572632,0.5186359882354736,0.2891958951950073,0.24206750094890594,0.027626413851976395,0.6943780779838562,0.9945615530014038,0.9878955483436584,0.9982013702392578
6,0.9901872873306274,0.48578500747680664,0.4608479142189026,0.26782020926475525,0.21705889701843262,0.030739901587367058,0.001,0.761802613735199,0.9935432076454163,0.9875979423522949,0.9978615641593933,0.991028904914856,0.5047566890716553,0.5039389729499817,0.30512043833732605,0.212321475148201,0.02847021445631981,0.6344314813613892,0.9940500855445862,0.9886045455932617,0.9980283975601196
7,0.9904491901397705,0.49634960293769836,0.4686014652252197,0.30414512753486633,0.2151522934436798,0.030012954026460648,0.001,0.6923978328704834,0.9935261607170105,0.988104522228241,0.9978553056716919,0.9914076328277588,0.5244067907333374,0.5187283158302307,0.3414422273635864,0.2394808530807495,0.026101520285010338,0.8084982633590698,0.9942456483840942,0.9892404079437256,0.9980930089950562
8,0.9905126690864563,0.5005914568901062,0.4719622731208801,0.31328070163726807,0.21961398422718048,0.029859166592359543,0.001,0.7339643239974976,0.9936330914497375,0.9881454110145569,0.9978915452957153,0.9909664988517761,0.5387144684791565,0.5583459734916687,0.3574407398700714,0.24138915538787842,0.027391083538532257,0.7947617173194885,0.9942399859428406,0.9881724119186401,0.9980930089950562
9,0.991261899471283,0.5320426225662231,0.5132034420967102,0.3810440003871918,0.2360527068376541,0.02667364664375782,0.001,0.7406128644943237,0.9940950870513916,0.9891304969787598,0.9980432987213135,0.990362286567688,0.5418314337730408,0.5288354158401489,0.39980214834213257,0.24141520261764526,0.029871461912989616,0.805880069732666,0.9932981133460999,0.9877443909645081,0.9977803826332092
