epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
21,0.9920859932899475,0.5814908742904663,0.5344968438148499,0.5500180125236511,0.24363133311271667,0.025781063362956047,0.001,0.4843749403953552,0.9939751029014587,0.9906638264656067,0.9979992508888245,0.992030918598175,0.5992299318313599,0.5464971661567688,0.5727569460868835,0.2798685133457184,0.026639007031917572,0.5488059520721436,0.9942899346351624,0.9901034235954285,0.998106837272644
22,0.9921926856040955,0.5906205773353577,0.541841447353363,0.5709329843521118,0.25181278586387634,0.025060970336198807,0.001,0.5274436473846436,0.9941049814224243,0.9907330870628357,0.9980433583259583,0.9916977286338806,0.6014681458473206,0.539800763130188,0.5697834491729736,0.2985427975654602,0.02615872025489807,0.48556843400001526,0.9939233660697937,0.9899552464485168,0.9979856610298157
23,0.992255687713623,0.5918295979499817,0.5452433228492737,0.5618107914924622,0.2623750865459442,0.02506043016910553,0.001,0.5144976377487183,0.9941138625144958,0.9908068776130676,0.9980455040931702,0.9914809465408325,0.6115882396697998,0.5537034273147583,0.5873876214027405,0.30760934948921204,0.028033003211021423,0.634842574596405,0.9939800500869751,0.9895257949829102,0.9980037808418274
24,0.9925902485847473,0.6038401126861572,0.5627323985099792,0.5817731618881226,0.27281445264816284,0.023906217887997627,0.001,0.5656996965408325,0.9943781495094299,0.9912316203117371,0.9981334805488586,0.9921804666519165,0.5945664644241333,0.5091288685798645,0.611357569694519,0.2599557340145111,0.02586955577135086,0.551362931728363,0.9937053322792053,0.9910257458686829,0.9979085326194763
25,0.9924571514129639,0.6029576659202576,0.5518344640731812,0.5880117416381836,0.27398383617401123,0.024134255945682526,0.001,0.5528539419174194,0.9943066835403442,0.9910429120063782,0.9981102347373962,0.992387056350708,0.6154996156692505,0.5681303143501282,0.5987119078636169,0.29724645614624023,0.024577492848038673,0.510623574256897,0.9945246577262878,0.9905640482902527,0.9981840252876282
26,0.9928501844406128,0.615382194519043,0.5783119201660156,0.598781168460846,0.2862725555896759,0.02262960746884346,0.001,0.563690185546875,0.9946040511131287,0.9915050268173218,0.9982081055641174,0.9925853610038757,0.6177638173103333,0.5825138688087463,0.5967084169387817,0.2938724756240845,0.02526031993329525,0.48003214597702026,0.9943335652351379,0.9911701083183289,0.99811851978302
27,0.9927758574485779,0.6174343824386597,0.5723288059234619,0.6050037145614624,0.29431045055389404,0.02306090109050274,0.001,0.5714952349662781,0.9945117831230164,0.9914434552192688,0.9981781840324402,0.9913890361785889,0.5933992266654968,0.49869492650032043,0.5850579142570496,0.29242271184921265,0.02886800467967987,0.5624622106552124,0.9935629367828369,0.9896456599235535,0.9978669285774231
28,0.9926734566688538,0.6130651235580444,0.5686900615692139,0.5986201167106628,0.286889910697937,0.023389823734760284,0.001,0.5718111395835876,0.9944320917129517,0.9913319945335388,0.9981505870819092,0.9918797612190247,0.5738429427146912,0.5485402941703796,0.5227167010307312,0.22626478970050812,0.02651457116007805,0.4635772109031677,0.9936197996139526,0.9905717372894287,0.9978814125061035
29,0.9929109215736389,0.6216570138931274,0.5808893442153931,0.6102967262268066,0.2972717583179474,0.02238766849040985,0.001,0.5783576965332031,0.9946325421333313,0.9915978312492371,0.9982181191444397,0.9920141100883484,0.5990592241287231,0.48045843839645386,0.5993765592575073,0.31868940591812134,0.026999644935131073,0.6665008664131165,0.993592381477356,0.9908829927444458,0.9978709816932678
30,0.9929912686347961,0.6254640817642212,0.5859007835388184,0.6122193336486816,0.3055518567562103,0.022213496267795563,0.001,0.5929192304611206,0.9947267770767212,0.9916606545448303,0.9982489943504333,0.9925673604011536,0.6253913044929504,0.5539358258247375,0.6407867670059204,0.3088344633579254,0.024191217496991158,0.6412093043327332,0.9944016337394714,0.9911574125289917,0.9981414675712585
31,0.9930728673934937,0.6295344233512878,0.5950857996940613,0.6172803640365601,0.30750495195388794,0.021494481712579727,0.001,0.5993484258651733,0.994832456111908,0.9917420148849487,0.9982837438583374,0.9924779534339905,0.6338435411453247,0.5934431552886963,0.6449300050735474,0.299133837223053,0.024500757455825806,0.632986843585968,0.9945006370544434,0.9907428622245789,0.9981769323348999
