epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u_17,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u_17,val_precision,val_sensitivity,val_specificity
0,0.9870504140853882,0.31418856978416443,0.13863299787044525,0.061447858810424805,0.06258594989776611,0.05874214693903923,0.001,0.5291649699211121,0.9872843623161316,0.9866887927055359,0.9957639575004578,0.9867330193519592,0.3347845673561096,0.174783393740654,0.0837734192609787,0.08558616042137146,0.04966329410672188,0.48816514015197754,0.9874849319458008,0.9866693019866943,0.9958324432373047
1,0.9871675968170166,0.35656583309173584,0.1939709484577179,0.13485845923423767,0.1022898405790329,0.04865628480911255,0.001,0.4924802780151367,0.9893022179603577,0.9859976768493652,0.9964434504508972,0.9869436621665955,0.3564395010471344,0.21052178740501404,0.12715697288513184,0.09271245449781418,0.04737076535820961,0.5292032361030579,0.9887455701828003,0.9866051077842712,0.9962568283081055
2,0.9882402420043945,0.40721040964126587,0.27314668893814087,0.22956061363220215,0.13024578988552094,0.04287249222397804,0.001,0.47842174768447876,0.9911717772483826,0.9859991669654846,0.9970717430114746,0.9881300330162048,0.3760715425014496,0.24743002653121948,0.16787053644657135,0.09329324960708618,0.04431799054145813,0.3781563937664032,0.9894536137580872,0.9871211051940918,0.9964935183525085
3,0.9891080856323242,0.44259482622146606,0.345880389213562,0.28089505434036255,0.14730040729045868,0.03920266032218933,0.001,0.43743428587913513,0.9917399287223816,0.98697429895401,0.9972617626190186,0.9898819327354431,0.505385160446167,0.39607810974121094,0.44130221009254456,0.18731608986854553,0.03472893312573433,0.4264005720615387,0.9933809041976929,0.986661970615387,0.9978094100952148
4,0.9901037812232971,0.49010008573532104,0.4168713390827179,0.368383526802063,0.17821653187274933,0.0340118482708931,0.001,0.44451552629470825,0.9926944375038147,0.988068699836731,0.997577428817749,0.9901602864265442,0.5146016478538513,0.44686850905418396,0.4190432131290436,0.1956300139427185,0.034669745713472366,0.4944598376750946,0.9924651980400085,0.988459587097168,0.997499942779541
5,0.9903587698936462,0.5101447701454163,0.43811672925949097,0.41863659024238586,0.1867903470993042,0.03294242545962334,0.001,0.4011368453502655,0.9927465319633484,0.9884565472602844,0.9975939989089966,0.9894298911094666,0.4868602752685547,0.3490698039531708,0.4534361660480499,0.14912378787994385,0.04401478171348572,0.3808354437351227,0.9922489523887634,0.9870522618293762,0.9974310994148254
6,0.9908556938171387,0.533161997795105,0.46652117371559143,0.4684924781322479,0.20035183429718018,0.030470309779047966,0.001,0.39745309948921204,0.9931139349937439,0.9891260266304016,0.9977163076400757,0.990541398525238,0.5210384726524353,0.40824776887893677,0.4620696008205414,0.21672871708869934,0.033102087676525116,0.4351934492588043,0.992789089679718,0.9888103604316711,0.997607409954071
7,0.9907296895980835,0.5287690162658691,0.4637966454029083,0.4536302983760834,0.20045748353004456,0.031430527567863464,0.001,0.39389586448669434,0.9930732846260071,0.9889267086982727,0.997702419757843,0.9908353090286255,0.5691161751747131,0.49398279190063477,0.5764285326004028,0.20875391364097595,0.029992496594786644,0.3861972689628601,0.993105411529541,0.9890932440757751,0.9977136254310608
8,0.9916399717330933,0.5673977136611938,0.5136394500732422,0.5314822196960449,0.22680504620075226,0.02737703174352646,0.001,0.3880167007446289,0.9937038421630859,0.9900676608085632,0.9979109168052673,0.9883916974067688,0.49540674686431885,0.3142619729042053,0.5188215970993042,0.15256762504577637,0.040469180792570114,0.3750898838043213,0.990463376045227,0.9869882464408875,0.9968347549438477
9,0.991357684135437,0.559273898601532,0.4969724714756012,0.5143442153930664,0.228326678276062,0.02894853986799717,0.001,0.3753546476364136,0.9934766292572021,0.9897164106369019,0.9978350400924683,0.9898881316184998,0.4761177599430084,0.43335819244384766,0.31173470616340637,0.1625160425901413,0.03567338362336159,0.37523189187049866,0.9924294352531433,0.9879319071769714,0.9974883794784546
