epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u_5,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u_5,val_precision,val_sensitivity,val_specificity
0,0.9854347705841064,0.3054710030555725,0.12796233594417572,0.046081043779850006,0.057692207396030426,0.07499872893095016,0.001,0.7197544574737549,0.9834440350532532,0.9785441160202026,0.995762288570404,0.9862750768661499,0.32259875535964966,0.15884268283843994,0.07467414438724518,0.06284084916114807,0.055679354816675186,0.7497187852859497,0.9862750768661499,0.9862750768661499,0.9954252243041992
1,0.9868512749671936,0.3286048173904419,0.16024816036224365,0.0870276391506195,0.07271324843168259,0.052531082183122635,0.001,0.7182484269142151,0.9873758554458618,0.9863059520721436,0.9957963824272156,0.9862759113311768,0.3167227506637573,0.12145338207483292,0.09409965574741364,0.057065535336732864,0.05348992720246315,0.8104860186576843,0.9865155220031738,0.9862176775932312,0.995507001876831
2,0.986906111240387,0.33963561058044434,0.1591409146785736,0.12042344361543655,0.08440615236759186,0.05204782262444496,0.001,0.7601193189620972,0.9880568981170654,0.9861626625061035,0.996027946472168,0.9865142107009888,0.35510140657424927,0.18220895528793335,0.13931721448898315,0.10400567203760147,0.050916336476802826,0.8286716341972351,0.9883790016174316,0.9856364130973816,0.996137797832489
3,0.987995445728302,0.4202018976211548,0.272253155708313,0.27207115292549133,0.14072291553020477,0.04209088906645775,0.001,0.80961012840271,0.9909114837646484,0.9858918786048889,0.9969836473464966,0.9873479008674622,0.4355354607105255,0.3022626042366028,0.30955711007118225,0.13448625802993774,0.04082905501127243,0.7960413098335266,0.9908949136734009,0.985260546207428,0.9969845414161682
4,0.9889166355133057,0.4682772755622864,0.3518839478492737,0.35204383730888367,0.17275606095790863,0.0365833155810833,0.001,0.8298492431640625,0.9925764799118042,0.9862004518508911,0.997542679309845,0.9886361360549927,0.5072363018989563,0.32635733485221863,0.49834558367729187,0.20756858587265015,0.03549764305353165,0.8334345817565918,0.9930695295333862,0.9850673675537109,0.9977092742919922
5,0.9900140762329102,0.5109590888023376,0.39882785081863403,0.4347361624240875,0.21342749893665314,0.03339111804962158,0.001,0.830010175704956,0.9928303956985474,0.9877751469612122,0.9976235032081604,0.9900950789451599,0.5609601140022278,0.40939861536026,0.5709015130996704,0.2664705812931061,0.03162876516580582,0.8339866399765015,0.9927265048027039,0.9881905317306519,0.997588038444519
6,0.9896926879882812,0.513038158416748,0.38923001289367676,0.4576966166496277,0.20859548449516296,0.034836288541555405,0.001,0.8453249931335449,0.9924603700637817,0.987557590007782,0.9975001215934753,0.9872257709503174,0.4494263231754303,0.266314834356308,0.36569833755493164,0.16952933371067047,0.039635028690099716,0.869299054145813,0.9908286929130554,0.986172080039978,0.9969579577445984
7,0.9897657632827759,0.5199113488197327,0.3880862593650818,0.4882214069366455,0.20653972029685974,0.03312792629003525,0.001,0.8402347564697266,0.9927424192428589,0.9875394701957703,0.9975972175598145,0.9888677000999451,0.5519817471504211,0.3543250262737274,0.5672702193260193,0.28996551036834717,0.03606496378779411,0.8410983681678772,0.9915136098861694,0.986757755279541,0.9971960783004761
8,0.991195023059845,0.5731637477874756,0.4604529142379761,0.5527504682540894,0.28224679827690125,0.029732564464211464,0.001,0.8471686244010925,0.9934584498405457,0.9892875552177429,0.997830331325531,0.991448163986206,0.5930883288383484,0.5061473846435547,0.5692242980003357,0.2996668517589569,0.02939489670097828,0.842719554901123,0.9927765727043152,0.990512490272522,0.9975987076759338
9,0.9918902516365051,0.6056244373321533,0.5024337768554688,0.6052078604698181,0.3173525333404541,0.026906147599220276,0.001,0.8328262567520142,0.993779718875885,0.9903286695480347,0.9979349374771118,0.9919353127479553,0.6294687986373901,0.5783387422561646,0.6112080216407776,0.33074790239334106,0.026547564193606377,0.8511993288993835,0.9937969446182251,0.9904232621192932,0.9979408979415894
